,real_quality,predicted_class
0,00,1
1,01,1
2,02,1
3,03,1
4,04,1
5,05,1
6,06,1
7,07,1
8,08,2
9,09,1
10,10,1
11,11,1
12,12,2
13,13,2
14,14,1
15,15,2
16,16,2
17,17,2
18,18,2
19,19,3
20,20,2
21,21,1
22,22,4
23,23,2
24,24,3
25,25,1
26,26,2
27,27,3
28,28,2
29,29,2
30,30,2
31,31,3
32,32,3
33,33,3
34,34,4
35,35,3
36,36,3
37,37,3
38,38,3
39,39,4
40,40,5
41,41,3
42,42,4
43,43,4
44,44,4
45,45,4
46,46,5
47,47,5
48,48,3
49,49,5
50,50,5
51,51,3
52,52,4
53,53,5
54,54,4
55,55,5
56,56,5
57,57,4
58,58,5
59,59,2
60,60,5
61,61,5
62,62,4
63,63,4
64,64,5
65,65,4
66,66,3
67,67,4
68,68,5
69,69,5
