,smape,quality,level
0,0.0674988202514236,good,0
1,0.07787265822849564,good,0
2,0.1387360687262305,good,0
3,0.9506996062660626,good,0
4,0.4037372230981668,good,0
5,0.48073773208967135,good,0
6,0.8661290964861083,good,0
7,0.6703917568229915,good,0
8,1.2317977360667498,bad,0
9,1.0882050589193109,good,1
10,0.6310535474384471,good,0
11,0.5521944470218706,good,0
12,0.9352659093222913,good,0
13,2.0536161729993045,bad,0
14,0.8292697369906818,good,1
15,1.1810244644885841,bad,0
16,1.2550702436364383,good,1
17,0.6968310850690018,good,0
18,1.2714695539346614,bad,0
19,0.9107040137565544,good,1
20,1.515949992534781,bad,0
21,1.3636048319643717,good,1
22,1.3211533878212416,bad,0
23,0.9559934997213123,good,1
24,1.7490955164524629,bad,0
25,1.2071207248892637,good,1
26,1.63142081682862,bad,0
27,2.4045993316193788,bad,1
28,1.454755956210388,good,2
29,1.9414782209691057,bad,0
30,1.433832573149251,good,1
31,0.8504707739320754,good,0
32,3.205491144360745,bad,0
33,3.0427042902276797,bad,1
34,3.716555817655922,bad,2
35,2.9769124562036042,good,3
36,1.2228081434279905,bad,0
37,1.3644376694706515,good,1
38,1.7313662430791001,bad,0
39,1.8864879941625752,bad,1
40,1.6492843244270141,good,2
41,1.0913132364896065,good,0
42,1.630791071569848,bad,0
43,1.4247943474207896,good,1
44,1.1726496309407763,bad,0
45,1.979817519728433,bad,1
46,1.4360177437685828,good,2
47,1.2086397648626899,bad,0
48,1.5909112068811038,good,1
49,1.2025538834539886,bad,0
50,1.694907829259046,good,1
51,1.648164428268998,bad,0
52,1.4652816942208973,good,1
53,2.391985201622663,bad,0
54,2.4146086399405813,bad,1
55,2.666222755461333,good,2
56,2.4000292676294688,bad,0
57,3.2700273092150454,bad,1
58,2.360240508476547,good,2
59,2.648868947978104,bad,0
60,2.684381561390563,bad,1
61,2.9657048452531383,good,2
62,4.382790476968337,bad,0
63,4.369770214207813,bad,1
64,4.134646397843395,bad,2
65,4.505757775215795,good,3
66,1.8241374197191713,bad,0
67,2.0476398565730642,bad,1
68,1.978285358520908,good,2
69,2.467406866010785,bad,0
70,3.3385115859777463,bad,1
71,2.6066978010365442,good,2
72,1.9863678570917185,bad,0
73,2.1826233175200604,bad,1
74,2.475221625001879,good,2
75,3.3936257468317828,bad,0
76,3.024842826365223,bad,1
77,3.0000911262155823,good,2
78,4.619545718955448,bad,0
79,4.301121466547705,bad,1
80,4.399816005767983,bad,2
81,4.4485819404687685,good,3
82,6.307624189930135,bad,0
83,6.089831543832735,bad,1
84,6.668903532047565,bad,2
85,8.289057638997672,bad,3
86,10.12815884786779,good,4
87,3.075570262205308,bad,0
88,2.8071673894756537,bad,1
89,2.82262503414064,good,2
90,3.997816468382245,bad,0
91,4.138314282532523,bad,1
92,4.771288850470453,bad,2
93,4.675030957596709,good,3
94,3.035585868441879,bad,0
95,3.559146822645057,bad,1
96,3.5787474265310673,bad,2
97,2.895691891401944,good,3
98,3.7564309138471708,bad,0
99,3.785921335252251,bad,1
100,4.976753384868379,bad,2
101,3.670220641234659,good,3
102,4.03291777972304,bad,0
103,4.130352276313792,bad,1
104,3.9653561149901875,bad,2
105,4.865256292496771,good,3
106,7.497371103907923,bad,0
107,8.80249697690392,bad,1
108,10.39151110093021,bad,2
109,10.617960479637453,bad,3
110,11.901799463363213,good,4
111,15.207266172320237,bad,0
112,16.369100983868265,bad,1
113,17.36226776836427,bad,2
114,17.24420329537892,bad,3
115,17.781736266590574,good,4
116,2.089018700128391,bad,0
117,1.8723506765895657,bad,1
118,2.3103863670734626,good,2
119,6.566845994833221,bad,0
120,6.732035183126607,bad,1
121,6.707383608675964,bad,2
122,7.108516796659548,bad,3
123,6.727435316250157,good,4
124,8.938529851072449,bad,0
125,8.89741143147128,bad,1
126,9.130129410069044,bad,2
127,9.244481495514819,bad,3
128,9.478302668980144,good,4
129,1.6118703579549145,bad,0
130,1.8805712606958003,bad,1
131,2.631592147908902,good,2
132,4.398074444514171,bad,0
133,4.394207787207704,bad,1
134,4.444814526043552,bad,2
135,4.430912759643546,good,3
136,5.866280609740997,bad,0
137,5.997683031114553,bad,1
138,6.169778109009071,bad,2
139,6.642956459823883,bad,3
140,6.888899141633895,good,4
141,3.617479839624539,bad,0
142,3.3496304078215138,bad,1
143,4.0442756637557284,bad,2
144,3.939665859684242,good,3
145,9.84908032047207,bad,0
146,9.699014386055218,bad,1
147,10.90296766614303,bad,2
148,13.967989734653907,bad,3
149,15.322813269338216,good,4
150,11.583687547039762,bad,0
151,13.835005069585577,bad,1
152,14.121602244798448,bad,2
153,15.18402075218827,bad,3
154,15.141472098113814,good,4
155,5.732861385752004,bad,0
156,5.529674387835387,bad,1
157,5.784957243176554,bad,2
158,6.169056071036559,good,3
159,12.782452068386544,bad,0
160,13.680748925235601,bad,1
161,15.83740470130904,bad,2
162,16.57798665770173,bad,3
163,17.906992396140225,good,4
164,1.3639582693040277,bad,0
165,1.6529979479878008,good,1
166,11.478533458984451,bad,0
167,11.839976540105184,bad,1
168,12.406765967317233,bad,2
169,13.121618373344361,bad,3
170,12.673577179649719,good,4
171,17.85971739359393,bad,0
172,19.279485224156055,bad,1
173,20.88398774904287,bad,2
174,20.454907731119786,bad,3
175,24.24093621059667,good,4
176,3.137020509716895,bad,0
177,3.07438400095641,bad,1
178,3.650076192245808,bad,2
179,2.808425886483306,good,3
180,5.720113681683715,bad,0
181,6.201970119122953,bad,1
182,5.9250841550534705,bad,2
183,5.566003535336263,good,3
184,8.8754593760023,bad,0
185,9.140400762608852,bad,1
186,9.044090950054018,bad,2
187,8.824207761130408,bad,3
188,9.073413970996773,good,4
189,3.015659347412512,bad,0
190,3.563828611509468,bad,1
191,3.8163183445626885,bad,2
192,3.378351170105043,good,3
193,3.503916458966566,bad,0
194,2.9376200273447575,bad,1
195,3.087541081841555,good,2
196,3.3084796099290186,bad,0
197,2.836654123503133,bad,1
198,3.131224410342496,bad,2
199,3.5523747614479007,good,3
200,9.218441240794512,bad,0
201,8.692641710603308,bad,1
202,8.776075880657862,bad,2
203,8.533394448169073,bad,3
204,9.210667265209398,good,4
205,9.498168865282762,bad,0
206,9.06242543254664,bad,1
207,9.575577947820651,bad,2
208,10.019595870246645,bad,3
209,11.830932395611148,good,4
